timestep,q_value_mean,q_value_std,q_value_max,q_value_min,td_error_mean,td_error_std,loss,exploration_rate,learning_rate,episode_reward_mean,episode_length_mean,success_rate,collision_rate
280000,3.8114445209503174,0.3188139796257019,4.418206214904785,2.5351274013519287,0.15140217542648315,1.4011726379394531,0.4369399845600128,0.11333650000000006,0.0002,21.498168340000007,213.66,0.01,0.0
281000,3.831575632095337,0.3149520754814148,4.39219856262207,2.633485794067383,0.025827627629041672,0.025054633617401123,0.11998693645000458,0.11016983333333341,0.0002,21.01677052,211.17,0.0,0.0
282000,3.8248918056488037,0.3454272150993347,4.413883686065674,2.5206315517425537,0.02304113283753395,0.024378584697842598,0.0010440257610753179,0.10700316666666676,0.0002,20.9455415,205.7,0.01,0.0
283000,3.863988161087036,0.3152293562889099,4.463746070861816,2.5485241413116455,0.08906561136245728,0.9935916662216187,0.35924768447875977,0.1038365,0.0002,20.943792950000002,202.47,0.01,0.0
284000,3.8829574584960938,0.3069828748703003,4.599078178405762,2.5837066173553467,0.08930902183055878,0.9957050085067749,0.1253328174352646,0.10066983333333335,0.0002,20.934995639999997,203.25,0.0,0.0
285000,3.887295961380005,0.3018335700035095,4.579971790313721,2.64328932762146,0.025540165603160858,0.03539912402629852,0.0007964562391862273,0.0975031666666667,0.0002,20.934995639999997,203.25,0.0,0.0
286000,3.853597402572632,0.3537488281726837,4.464921951293945,2.472036123275757,0.14950290322303772,1.4046651124954224,0.0005316999158822,0.09433649999999993,0.0002,20.91527148,219.8,0.01,0.0
287000,3.8572914600372314,0.3582855463027954,4.615551948547363,2.4833412170410156,0.025383753702044487,0.030067583546042442,0.0006386782042682171,0.09116983333333328,0.0002,20.915550789999998,220.42,0.01,0.0
288000,3.8900914192199707,0.335669606924057,4.5103559494018555,2.8031084537506104,0.15103445947170258,1.3768614530563354,0.0007051612483337522,0.08800316666666663,0.0002,20.848394470000002,213.93,0.0,0.0
289000,3.8608241081237793,0.35295370221138,4.578733921051025,2.58308744430542,0.08758911490440369,1.0091493129730225,0.0005261477781459689,0.08483649999999987,0.0002,20.88348357,215.93,0.0,0.0
290000,3.9431896209716797,0.34472182393074036,4.619056701660156,2.5610830783843994,0.026923637837171555,0.0377282053232193,0.0006541945622302592,0.08166983333333344,0.0002,21.39417712,208.98,0.0,0.0
291000,3.963773727416992,0.311591774225235,4.54827356338501,2.6359288692474365,0.029590819031000137,0.029666515067219734,0.2400560975074768,0.07850316666666668,0.0002,21.38144918,208.69,0.0,0.0
292000,3.9709184169769287,0.36500805616378784,4.892052173614502,2.559366226196289,0.08543649315834045,0.9725858569145203,0.0005546088796108961,0.07533650000000003,0.0002,21.415334579999993,213.42,0.01,0.0
293000,3.9587910175323486,0.3068287968635559,4.669150352478027,2.6592049598693848,0.08950059115886688,0.9854918122291565,0.0008464088314212859,0.07216983333333338,0.0002,21.925896079999994,203.62,0.0,0.0
294000,3.9312403202056885,0.3137649893760681,4.501163959503174,2.869330883026123,0.0915646106004715,1.0071972608566284,0.21478110551834106,0.06900316666666662,0.0002,21.944626830000008,206.45,0.0,0.0
295000,3.9703176021575928,0.3503209948539734,4.574954509735107,2.5711426734924316,0.024028964340686798,0.025035308673977852,0.0006169923581182957,0.06583649999999996,0.0002,21.997194410000002,209.69,0.0,0.0
