timestep,episode,fps,elapsed_time,ep_len_mean,ep_rew_mean,train/loss,train/learning_rate,train/n_updates,rollout/exploration_rate,time/total_timesteps
90000,0,223.95212339155478,401.8716082572937,0,0,0.0014637422282248735,0.0002,42498,0.8897512250000001,90000
95000,0,224.39685091208997,423.35709977149963,0,0,0.0011893930495716631,0.0002,44998,0.883626225,95000
100000,0,224.24894392430951,445.93298077583313,0,0,0.0011270627728663385,0.0002,47498,0.877501225,100000
105000,0,212.91032785170077,493.16536712646484,0,0,0.0021377771627157927,0.0002,49998,0.8713762249999999,105000
110000,0,213.87415085173595,514.3211536407471,0,0,0.0032339015451725572,0.0002,52498,0.8652512250000001,110000
115000,0,213.93257080321436,537.5525548458099,0,0,0.002001705812290311,0.0002,54998,0.8591262249999999,115000
120000,0,214.9211585687988,558.3442821502686,0,0,0.002058773417957127,0.0002,57498,0.8530012250000001,120000
125000,0,215.19938149551544,580.8566880226135,0,0,0.07881601073313504,0.0002,59998,0.8468762249999999,125000
130000,0,215.5366038439027,603.1458122730255,0,0,0.002524946699850261,0.0002,62498,0.840751225,130000
135000,0,216.444668357554,623.7159872055054,0,0,0.004288852214813232,0.0002,64998,0.8346262249999998,135000
140000,0,216.8540469992936,645.5955142974854,0,0,0.002002653549425304,0.0002,67498,0.828501225,140000
145000,0,217.2041586687731,667.574695110321,0,0,0.0035086491843685508,0.0002,69998,0.8223762250000002,145000
150000,0,217.75282725140866,688.8544313907623,0,0,0.0038851177087053657,0.0002,72498,0.816251225,150000
155000,0,217.81239759143946,711.621568441391,0,0,0.0025662402040325105,0.0002,74998,0.8101262249999999,155000
160000,0,218.421869279119,732.5273816585541,0,0,0.0019277626415714622,0.0002,77498,0.8040012249999999,160000
165000,0,218.5869616562529,754.8483164310455,0,0,0.0026313831913284957,0.0002,79998,0.7978762250000002,165000
170000,0,218.69291168609146,777.3457250595093,0,0,0.003241971950046718,0.0002,82498,0.7917512250000001,170000
175000,0,219.21026114577776,798.3202934265137,0,0,0.006959101185202599,0.0002,84998,0.7856262250000001,175000
180000,0,219.47217199081314,820.1495358943939,0,0,0.0026218832936137915,0.0002,87498,0.779501225,180000
185000,0,219.56214963425504,842.5860300064087,0,0,0.004240384325385094,0.0002,89998,0.7733762250000001,185000
190000,0,220.1249209509774,863.1462497711182,0,0,0.009298969758674502,0.0002,92498,0.767251225,190000
195000,0,220.227266197769,885.4489426612854,0,0,0.07935124594951048,0.0002,94998,0.7611262250000002,195000
200000,0,220.1618763545852,908.4224903583527,0,0,0.005058852722868323,0.0002,97498,0.755001225,200000
205000,0,214.8348207236667,954.2214772701263,0,0,0.004801760893315077,0.0002,99998,0.7488762250000001,205000
210000,0,214.74175076062107,977.9188222885132,0,0,0.005629827966913581,0.0002,102498,0.7427512249999999,210000
215000,0,214.72844549158455,1001.2646415233612,0,0,0.008589096833020449,0.0002,104998,0.7366262250000001,215000
220000,0,215.16049059581928,1022.4925560951233,0,0,0.004064019536599517,0.0002,107498,0.7305012249999999,220000
225000,0,215.28399599926595,1045.1311020851135,0,0,0.002510418271413073,0.0002,109998,0.7243762250000001,225000
230000,0,215.4311618167209,1067.6264197826385,0,0,0.005987594835460186,0.0002,112498,0.7182512249999999,230000
235000,0,215.862998166594,1088.653460741043,0,0,0.004881380940787494,0.0002,114998,0.712126225,235000
240000,0,216.04897404681765,1110.8592441082,0,0,0.009092718828469515,0.0002,117498,0.706001225,240000
245000,0,216.05596613656323,1133.9654459953308,0,0,0.07703241659328341,0.0002,119998,0.6998762250000001,245000
